ensembl_gene_id,ppaniscus_homolog_ensembl_gene,ptroglodytes_homolog_ensembl_gene,ggallus_homolog_ensembl_gene,mmusculus_homolog_ensembl_gene,ggorilla_homolog_ensembl_gene,mdomestica_homolog_ensembl_gene,pabelii_homolog_ensembl_gene,oanatinus_homolog_ensembl_gene,mmulatta_homolog_ensembl_gene
ENSG00000142657,ENSPPAG00000038160,ENSPTRG00000041336,ENSGALG00000002797,ENSMUSG00000028961,ENSGGOG00000004754,ENSMODG00000002668,ENSPPYG00000001901,ENSOANG00000002801,ENSMMUG00000023029
ENSG00000157330,ENSPPAG00000033402,ENSPTRG00000000170,ENSGALG00000004102,ENSMUSG00000028589,ENSGGOG00000013621,ENSMODG00000025501,ENSPPYG00000001865,ENSOANG00000006097,ENSMMUG00000021870
ENSG00000157911,ENSPPAG00000033932,ENSPTRG00000000050,ENSGALG00000001223,ENSMUSG00000029047,ENSGGOG00000010513,ENSMODG00000008130,ENSPPYG00000001979,ENSOANG00000007035,ENSMMUG00000012348
ENSG00000157916,ENSPPAG00000031180,ENSPTRG00000000049,ENSGALG00000021683,ENSMUSG00000029048,ENSGGOG00000043764,ENSMODG00000008117,ENSPPYG00000001980,ENSOANG00000007034,ENSMMUG00000012346
ENSG00000157933,ENSPPAG00000030609,ENSPTRG00000000047,ENSGALG00000001229,ENSMUSG00000029050,ENSGGOG00000010476,ENSMODG00000020914,ENSPPYG00000001982,ENSOANG00000010922,ENSMMUG00000010280
ENSG00000158109,ENSPPAG00000034643,ENSPTRG00000000063,ENSGALG00000001024,ENSMUSG00000029030,ENSGGOG00000015547,ENSMODG00000006651,ENSPPYG00000001965,ENSOANG00000009741,ENSMMUG00000003785
ENSG00000158286,ENSPPAG00000031421,ENSPTRG00000000078,ENSGALG00000032525,ENSMUSG00000058498,ENSGGOG00000000709,ENSMODG00000006209,ENSPPYG00000001950,ENSOANG00000022287,ENSMMUG00000038166
ENSG00000160049,ENSPPAG00000037954,ENSPTRG00000000131,ENSGALG00000002820,ENSMUSG00000028974,ENSGGOG00000012721,ENSMODG00000002660,ENSPPYG00000001899,ENSOANG00000002798,ENSMMUG00000032254
ENSG00000160087,ENSPPAG00000031850,ENSPTRG00000051432,ENSGALG00000001848,ENSMUSG00000023286,ENSGGOG00000005336,ENSMODG00000016452,ENSPPYG00000002017,ENSOANG00000006753,ENSMMUG00000010030
ENSG00000162413,ENSPPAG00000029767,ENSPTRG00000000091,ENSGALG00000035211,ENSMUSG00000073700,ENSGGOG00000006829,ENSMODG00000000252,ENSPPYG00000001937,ENSOANG00000012293,ENSMMUG00000018181
ENSG00000162426,ENSPPAG00000032468,ENSPTRG00000000104,ENSGALG00000033340,ENSMUSG00000039838,ENSGGOG00000014546,ENSMODG00000009579,ENSPPYG00000001923,ENSOANG00000003147,ENSMMUG00000021398
ENSG00000162438,ENSPPAG00000033889,ENSPTRG00000000197,ENSGALG00000039406,ENSMUSG00000062478,ENSGGOG00000006673,ENSMODG00000027369,ENSPPYG00000001846,ENSOANG00000003636,ENSMMUG00000002188
ENSG00000162441,ENSPPAG00000031304,ENSPTRG00000044719,ENSGALG00000002616,ENSMUSG00000028990,ENSGGOG00000014439,ENSMODG00000025570,ENSPPYG00000001906,ENSOANG00000020718,ENSMMUG00000013292
ENSG00000162490,ENSPPAG00000035523,ENSPTRG00000000150,ENSGALG00000004631,ENSMUSG00000029005,ENSGGOG00000006126,ENSMODG00000010996,ENSPPYG00000001884,ENSOANG00000031005,ENSMMUG00000014224
ENSG00000162493,ENSPPAG00000039265,ENSPTRG00000000184,ENSGALG00000030096,ENSMUSG00000028583,ENSGGOG00000010242,ENSMODG00000025516,ENSPPYG00000001856,ENSOANG00000020210,ENSMMUG00000000145
ENSG00000162496,ENSPPAG00000043366,ENSPTRG00000000167,ENSGALG00000030376,ENSMUSG00000066026,ENSGGOG00000014993,ENSMODG00000012387,ENSPPYG00000001868,ENSOANG00000006099,ENSMMUG00000005681
ENSG00000162576,ENSPPAG00000033475,ENSPTRG00000045448,ENSGALG00000001561,ENSMUSG00000029070,ENSGGOG00000025096,ENSMODG00000006413,ENSPPYG00000002009,ENSOANG00000004678,ENSMMUG00000003582
ENSG00000162592,ENSPPAG00000035974,ENSPTRG00000000067,ENSGALG00000043926,ENSMUSG00000039492,ENSGGOG00000015568,ENSMODG00000006595,ENSPPYG00000001961,ENSOANG00000009496,ENSMMUG00000013591
ENSG00000169598,ENSPPAG00000011470,ENSPTRG00000000070,ENSGALG00000036295,ENSMUSG00000029027,ENSGGOG00000013452,ENSMODG00000006492,ENSPPYG00000001958,ENSOANG00000013652,ENSMMUG00000015174
ENSG00000171603,ENSPPAG00000043655,ENSPTRG00000000121,ENSGALG00000002606,ENSMUSG00000039953,ENSGGOG00000012405,ENSMODG00000002944,ENSPPYG00000001908,ENSOANG00000008174,ENSMMUG00000006225
ENSG00000171608,ENSPPAG00000035594,ENSPTRG00000000120,ENSGALG00000002583,ENSMUSG00000039936,ENSGGOG00000012386,ENSMODG00000003005,ENSPPYG00000001909,ENSOANG00000008173,ENSMMUG00000006224
ENSG00000171612,ENSPPAG00000030519,ENSPTRG00000000115,ENSGALG00000002519,ENSMUSG00000028982,ENSGGOG00000006766,ENSMODG00000003059,ENSPPYG00000001912,ENSOANG00000008171,ENSMMUG00000043999
ENSG00000171621,ENSPPAG00000032512,ENSPTRG00000000114,ENSGALG00000002506,ENSMUSG00000039911,ENSGGOG00000011575,ENSMODG00000009234,ENSPPYG00000001913,ENSOANG00000008169,ENSMMUG00000002052
ENSG00000171729,ENSPPAG00000027626,ENSPTRG00000000193,ENSGALG00000035819,ENSMUSG00000040616,ENSGGOG00000028096,ENSMODG00000012339,ENSPPYG00000001850,ENSOANG00000001151,ENSMMUG00000006164
ENSG00000171819,ENSPPAG00000032143,ENSPTRG00000000143,ENSGALG00000003179,ENSMUSG00000028989,ENSGGOG00000010647,ENSMODG00000011148,ENSPPYG00000001890,ENSOANG00000013326,ENSMMUG00000006187
ENSG00000171824,ENSPPAG00000038356,ENSPTRG00000000140,ENSGALG00000003086,ENSMUSG00000017264,ENSGGOG00000010572,ENSMODG00000011194,ENSPPYG00000001891,ENSOANG00000013322,ENSMMUG00000019322
ENSG00000173662,ENSPPAG00000031209,ENSPTRG00000000090,ENSGALG00000046030,ENSMUSG00000028950,ENSGGOG00000006812,ENSMODG00000005985,ENSPPYG00000001939,ENSOANG00000013347,ENSMMUG00000018183
ENSG00000177000,ENSPPAG00000038114,ENSPTRG00000000153,ENSGALG00000004612,ENSMUSG00000029009,ENSGGOG00000012925,ENSMODG00000010976,ENSPPYG00000001880,ENSOANG00000002743,ENSMMUG00000007828
ENSG00000189337,ENSPPAG00000007694,ENSPTRG00000000186,ENSGALG00000013642,ENSMUSG00000040606,ENSGGOG00000013613,ENSMODG00000012346,ENSPPYG00000001854,ENSOANG00000013898,ENSMMUG00000023070
ENSG00000197530,ENSPPAG00000040418,ENSPTRG00000047681,ENSGALG00000001473,ENSMUSG00000029060,ENSGGOG00000006337,ENSMODG00000006713,ENSPPYG00000001998,ENSOANG00000008697,ENSMMUG00000012961
ENSG00000204859,ENSPPAG00000037668,ENSPTRG00000030844,ENSGALG00000000637,ENSMUSG00000028952,ENSGGOG00000006819,ENSMODG00000000246,ENSPPYG00000001938,ENSOANG00000012292,ENSMMUG00000032281
ENSG00000215788,ENSPPAG00000037123,ENSPTRG00000034540,ENSGALG00000026499,ENSMUSG00000024793,ENSGGOG00000026356,ENSMODG00000006096,ENSPPYG00000001942,ENSOANG00000008580,ENSMMUG00000023677
ENSG00000224051,ENSPPAG00000031341,ENSPTRG00000046367,ENSGALG00000028898,ENSMUSG00000029073,ENSGGOG00000005379,ENSMODG00000006296,ENSPPYG00000002012,ENSOANG00000013024,ENSMMUG00000013875
ENSG00000001461,ENSPPAG00000034282,ENSPTRG00000000346,ENSGALG00000004268,ENSMUSG00000028803,ENSGGOG00000014858,ENSMODG00000013086,ENSPPYG00000001719,ENSOANG00000002205,ENSMMUG00000004466
ENSG00000004487,ENSPPAG00000042062,ENSPTRG00000000321,ENSGALG00000033469,ENSMUSG00000036940,ENSGGOG00000003664,ENSMODG00000016138,ENSPPYG00000001747,ENSOANG00000004000,ENSMMUG00000009773
ENSG00000009780,ENSPPAG00000033431,ENSPTRG00000000414,ENSGALG00000040986,ENSMUSG00000028878,ENSGGOG00000006690,ENSMODG00000010679,ENSPPYG00000001656,ENSOANG00000009599,ENSMMUG00000012243
ENSG00000020633,ENSPPAG00000034809,ENSPTRG00000000351,ENSGALG00000043372,ENSMUSG00000070691,ENSGGOG00000004848,ENSMODG00000013941,ENSPPYG00000001714,ENSOANG00000031074,ENSMMUG00000002420
ENSG00000040487,ENSPPAG00000037094,ENSPTRG00000000266,ENSGALG00000033204,ENSMUSG00000028744,ENSGGOG00000000536,ENSMODG00000015885,ENSPPYG00000001791,ENSOANG00000015344,ENSMMUG00000006892
ENSG00000057757,ENSPPAG00000030752,ENSPTRG00000000336,ENSGALG00000003986,ENSMUSG00000028669,ENSGGOG00000004326,ENSMODG00000012852,ENSPPYG00000001734,ENSOANG00000008890,ENSMMUG00000019554
ENSG00000060642,ENSPPAG00000033338,ENSPTRG00000047988,ENSGALG00000039883,ENSMUSG00000043257,ENSGGOG00000004975,ENSMODG00000014399,ENSPPYG00000001679,ENSOANG00000013375,ENSMMUG00000012700
ENSG00000060688,ENSPPAG00000017296,ENSPTRG00000000455,ENSGALG00000000615,ENSMUSG00000074088,ENSGGOG00000001034,ENSMODG00000017078,ENSPPYG00000001618,ENSOANG00000011686,ENSMMUG00000019406
ENSG00000065526,ENSPPAG00000035690,ENSPTRG00000000210,ENSGALG00000036932,ENSMUSG00000040761,ENSGGOG00000012041,ENSMODG00000003411,ENSPPYG00000001834,ENSOANG00000004165,ENSMMUG00000008026
ENSG00000074964,ENSPPAG00000040855,ENSPTRG00000000248,ENSGALG00000043128,ENSMUSG00000040964,ENSGGOG00000002194,ENSMODG00000002635,ENSPPYG00000001805,ENSOANG00000030327,ENSMMUG00000010849
ENSG00000077549,ENSPPAG00000026461,ENSPTRG00000000268,ENSGALG00000004034,ENSMUSG00000028745,ENSGGOG00000003982,ENSMODG00000015888,ENSPPYG00000001789,ENSOANG00000015343,ENSMMUG00000006894
ENSG00000090020,ENSPPAG00000043811,ENSPTRG00000051037,ENSGALG00000034251,ENSMUSG00000028854,ENSGGOG00000001596,ENSMODG00000014436,ENSPPYG00000001669,ENSOANG00000002338,ENSMMUG00000016893
ENSG00000090273,ENSPPAG00000000217,ENSPTRG00000000395,ENSGALG00000000895,ENSMUSG00000028851,ENSGGOG00000015314,ENSMODG00000014391,ENSPPYG00000001673,ENSOANG00000001920,ENSMMUG00000010290
ENSG00000090432,ENSPPAG00000031714,ENSPTRG00000000288,ENSGALG00000042761,ENSMUSG00000041241,ENSGGOG00000006689,ENSMODG00000015955,ENSPPYG00000001773,ENSOANG00000005114,ENSMMUG00000038859
ENSG00000090686,ENSPPAG00000028188,ENSPTRG00000000304,ENSGALG00000030857,ENSMUSG00000043411,ENSGGOG00000004749,ENSMODG00000016025,ENSPPYG00000001758,ENSOANG00000005928,ENSMMUG00000017344
ENSG00000116350,ENSPPAG00000028357,ENSPTRG00000000445,ENSGALG00000037539,ENSMUSG00000028911,ENSGGOG00000002444,ENSMODG00000011052,ENSPPYG00000001629,ENSOANG00000015169,ENSMMUG00000007110
ENSG00000116786,ENSPPAG00000036158,ENSPTRG00000000205,ENSGALG00000003439,ENSMUSG00000028917,ENSGGOG00000015173,ENSMODG00000003492,ENSPPYG00000001840,ENSOANG00000005720,ENSMMUG00000016281
ENSG00000116809,ENSPPAG00000035070,ENSPTRG00000000211,ENSGALG00000035352,ENSMUSG00000006215,ENSGGOG00000012058,ENSMODG00000003391,ENSPPYG00000001833,ENSOANG00000008832,ENSMMUG00000008031
ENSG00000117115,ENSPPAG00000040328,ENSPTRG00000000243,ENSGALG00000029212,ENSMUSG00000028927,ENSGGOG00000016279,ENSMODG00000002757,ENSPPYG00000001811,ENSOANG00000021784,ENSMMUG00000001616
ENSG00000117154,ENSPPAG00000010983,ENSPTRG00000000250,ENSGALG00000037479,ENSMUSG00000040972,ENSGGOG00000009851,ENSMODG00000002553,ENSPPYG00000001803,ENSOANG00000002995,ENSMMUG00000023517
ENSG00000117298,ENSPPAG00000028307,ENSPTRG00000000298,ENSGALG00000031343,ENSMUSG00000057530,ENSGGOG00000012085,ENSMODG00000016000,ENSPPYG00000001761,ENSOANG00000001931,ENSMMUG00000010942
ENSG00000117305,ENSPPAG00000035201,ENSPTRG00000000339,ENSGALG00000004057,ENSMUSG00000028672,ENSGGOG00000004339,ENSMODG00000012891,ENSPPYG00000001731,ENSOANG00000004172,ENSMMUG00000019548
ENSG00000117318,ENSPPAG00000011462,ENSPTRG00000000331,ENSGALG00000035317,ENSMUSG00000007872,ENSGGOG00000008431,ENSMODG00000012783,ENSPPYG00000001738,ENSOANG00000012166,ENSMMUG00000043586
ENSG00000117602,ENSPPAG00000030742,ENSPTRG00000045149,ENSGALG00000004282,ENSMUSG00000059713,ENSGGOG00000013360,ENSMODG00000013089,ENSPPYG00000001718,ENSOANG00000002204,ENSMMUG00000022927
ENSG00000117614,ENSPPAG00000036579,ENSPTRG00000000352,ENSGALG00000013639,ENSMUSG00000028821,ENSGGOG00000012796,ENSMODG00000013951,ENSPPYG00000001713,ENSOANG00000009552,ENSMMUG00000002968
ENSG00000117640,ENSPPAG00000030443,ENSPTRG00000000365,ENSGALG00000000998,ENSMUSG00000046671,ENSGGOG00000011477,ENSMODG00000014017,ENSPPYG00000001704,ENSOANG00000009938,ENSMMUG00000007854
ENSG00000117643,ENSPPAG00000038533,ENSPTRG00000000363,ENSGALG00000001038,ENSMUSG00000037306,ENSGGOG00000011458,ENSMODG00000013999,ENSPPYG00000001707,ENSOANG00000015845,ENSMMUG00000004788
ENSG00000117676,ENSPPAG00000041102,ENSPTRG00000000387,ENSGALG00000037136,ENSMUSG00000003644,ENSGGOG00000002930,ENSMODG00000014283,ENSPPYG00000001681,ENSOANG00000015078,ENSMMUG00000022111
ENSG00000117682,ENSPPAG00000031128,ENSPTRG00000000385,ENSGALG00000029909,ENSMUSG00000012117,ENSGGOG00000000969,ENSMODG00000014246,ENSPPYG00000001683,ENSOANG00000006912,ENSMMUG00000022426
ENSG00000117751,ENSPPAG00000036845,ENSPTRG00000000417,ENSGALG00000000729,ENSMUSG00000028882,ENSGGOG00000012062,ENSMODG00000010718,ENSPPYG00000001654,ENSOANG00000008315,ENSMMUG00000012252
ENSG00000120656,ENSPPAG00000027453,ENSPTRG00000000437,ENSGALG00000000991,ENSMUSG00000028899,ENSGGOG00000008564,ENSMODG00000010943,ENSPPYG00000001636,ENSOANG00000004497,ENSMMUG00000042992
ENSG00000121769,ENSPPAG00000029757,ENSPTRG00000000457,ENSGALG00000037050,ENSMUSG00000028773,ENSGGOG00000014432,ENSMODG00000017087,ENSPPYG00000001616,ENSOANG00000012210,ENSMMUG00000020987
ENSG00000125944,ENSPPAG00000040797,ENSPTRG00000000324,ENSGALG00000000814,ENSMUSG00000066037,ENSGGOG00000013250,ENSMODG00000016144,ENSPPYG00000001744,ENSOANG00000003961,ENSMMUG00000010970
ENSG00000130695,ENSPPAG00000035844,ENSPTRG00000000378,ENSGALG00000042624,ENSMUSG00000037443,ENSGGOG00000000605,ENSMODG00000014186,ENSPPYG00000001690,ENSOANG00000006306,ENSMMUG00000000644
ENSG00000130766,ENSPPAG00000036650,ENSPTRG00000000429,ENSGALG00000037603,ENSMUSG00000028893,ENSGGOG00000014485,ENSMODG00000010846,ENSPPYG00000001643,ENSOANG00000000634,ENSMMUG00000019993
ENSG00000130768,ENSPPAG00000033356,ENSPTRG00000000421,ENSGALG00000000737,ENSMUSG00000028885,ENSGGOG00000014912,ENSMODG00000010740,ENSPPYG00000001650,ENSOANG00000011249,ENSMMUG00000018175
ENSG00000130770,ENSPPAG00000043083,ENSPTRG00000000428,ENSGALG00000038672,ENSMUSG00000054428,ENSGGOG00000000822,ENSMODG00000010826,ENSPPYG00000001644,ENSOANG00000001966,ENSMMUG00000018678
ENSG00000130772,ENSPPAG00000033816,ENSPTRG00000000431,ENSGALG00000028149,ENSMUSG00000066042,ENSGGOG00000007555,ENSMODG00000010853,ENSPPYG00000001642,ENSOANG00000000633,ENSMMUG00000010353
ENSG00000131910,ENSPPAG00000039413,ENSPTRG00000000394,ENSGALG00000000887,ENSMUSG00000037583,ENSGGOG00000015311,ENSMODG00000014420,ENSPPYG00000001674,ENSOANG00000006533,ENSMMUG00000010291
ENSG00000133226,ENSPPAG00000043918,ENSPTRG00000000349,ENSGALG00000001283,ENSMUSG00000028809,ENSGGOG00000005209,ENSMODG00000013861,ENSPPYG00000001716,ENSOANG00000002202,ENSMMUG00000006645
ENSG00000134644,ENSPPAG00000044003,ENSPTRG00000000453,ENSGALG00000042598,ENSMUSG00000028580,ENSGGOG00000011983,ENSMODG00000017067,ENSPPYG00000001621,ENSOANG00000004902,ENSMMUG00000013520
ENSG00000142661,ENSPPAG00000033111,ENSPTRG00000000341,ENSGALG00000004155,ENSMUSG00000037139,ENSGGOG00000004080,ENSMODG00000013043,ENSPPYG00000001724,ENSOANG00000013487,ENSMMUG00000023052
ENSG00000142675,ENSPPAG00000042812,ENSPTRG00000048000,ENSGALG00000046299,ENSMUSG00000028841,ENSGGOG00000006575,ENSMODG00000014135,ENSPPYG00000001692,ENSOANG00000030576,ENSMMUG00000032214
ENSG00000142733,ENSPPAG00000040813,ENSPTRG00000000404,ENSGALG00000039176,ENSMUSG00000028862,ENSGGOG00000000045,ENSMODG00000014479,ENSPPYG00000001665,ENSOANG00000020675,ENSMMUG00000018318
ENSG00000142751,ENSPPAG00000039790,ENSPTRG00000000392,ENSGALG00000027909,ENSMUSG00000028848,ENSGGOG00000015301,ENSMODG00000014412,ENSPPYG00000001676,ENSOANG00000009955,ENSMMUG00000018721
ENSG00000142784,ENSPPAG00000030849,ENSPTRG00000000401,ENSGALG00000000943,ENSMUSG00000037622,ENSGGOG00000012009,ENSMODG00000014445,ENSPPYG00000001668,ENSOANG00000031290,ENSMMUG00000004762
ENSG00000142798,ENSPPAG00000041282,ENSPTRG00000000307,ENSGALG00000035717,ENSMUSG00000028763,ENSGGOG00000013212,ENSMODG00000016051,ENSPPYG00000001757,ENSOANG00000012626,ENSMMUG00000014828
ENSG00000157191,ENSPPAG00000042904,ENSPTRG00000000228,ENSGALG00000003745,ENSMUSG00000028923,ENSGGOG00000014082,ENSMODG00000003106,ENSPPYG00000001819,ENSOANG00000002102,ENSMMUG00000019940
ENSG00000158006,ENSPPAG00000033860,ENSPTRG00000000370,ENSGALG00000021658,ENSMUSG00000037366,ENSGGOG00000014258,ENSMODG00000014033,ENSPPYG00000001699,ENSOANG00000014900,ENSMMUG00000000655
ENSG00000158014,ENSPPAG00000036676,ENSPTRG00000000372,ENSGALG00000010375,ENSMUSG00000028836,ENSGGOG00000016407,ENSMODG00000014091,ENSPPYG00000001697,ENSOANG00000014899,ENSMMUG00000012328
ENSG00000158022,ENSPPAG00000042727,ENSPTRG00000000373,ENSGALG00000034107,ENSMUSG00000028834,ENSGGOG00000016421,ENSMODG00000014098,ENSPPYG00000001696,ENSOANG00000014898,ENSMMUG00000009452
ENSG00000158055,ENSPPAG00000027717,ENSPTRG00000000344,ENSGALG00000004249,ENSMUSG00000037188,ENSGGOG00000001792,ENSMODG00000013064,ENSPPYG00000001721,ENSOANG00000002207,ENSMMUG00000004463
ENSG00000158161,ENSPPAG00000038235,ENSPTRG00000000423,ENSGALG00000000777,ENSMUSG00000028886,ENSGGOG00000008544,ENSMODG00000010782,ENSPPYG00000001648,ENSOANG00000011248,ENSMMUG00000012965
ENSG00000158195,ENSPPAG00000041993,ENSPTRG00000000409,ENSGALG00000014012,ENSMUSG00000028868,ENSGGOG00000004436,ENSMODG00000014503,ENSPPYG00000001661,ENSOANG00000030442,ENSMMUG00000018221
ENSG00000158748,ENSPPAG00000002367,ENSPTRG00000000271,ENSGALG00000004066,ENSMUSG00000028747,ENSGGOG00000005275,ENSMODG00000006899,ENSPPYG00000001785,ENSOANG00000015340,ENSMMUG00000048344
